seed,sigma,month,global_mse,insurer_gap,group_gap,worst_group_mse
20,0.1,1,0.001253237333889137,0.00013865680773904288,0.0037763268292906756,0.003857795306877967
20,0.1,2,0.0015423346677816386,0.0009422093884759611,0.004765562592752524,0.004866877294257139
20,0.1,3,0.001665511393484649,0.0008053181159166097,0.00521111156604747,0.005320428493837434
20,0.1,4,0.0018623482195634631,8.629965245800285e-05,0.005801500750858869,0.005934072939496988
20,0.1,5,0.002156493846862552,0.0009045697656424186,0.006886601196781417,0.007027188578161441
20,0.1,6,0.0024172340192198205,0.0009361240992472157,0.007781188749953225,0.007922603903846715
20,0.1,7,0.0024590833286854455,0.0009805158784216804,0.00756867831577794,0.007719955189448359
20,0.1,8,0.0028639303519272506,0.0009903154868395748,0.008937107133188623,0.009098761351861825
20,0.1,9,0.003077211315416064,0.001066036181782857,0.009685393828548721,0.00986350033091498
20,0.1,10,0.015678292887578056,0.0,0.006263182834817024,0.017895574155811982
20,0.1,11,0.016068545833761112,0.013527424247695263,0.006120921150856849,0.018255210694018375
20,0.1,12,0.016149807713526292,0.01425109672417226,0.008219562498367528,0.01907845653464978
20,0.1,13,0.016092392486289818,0.014432474146522063,0.008971175479238841,0.01910180397656896
20,0.1,14,0.01695169576338034,0.014531413174152803,0.008192918210196565,0.0198154362169888
20,0.1,15,0.01800130957117894,0.015183517789829582,0.008282861499045219,0.021618860074296305
20,0.1,16,0.019816605265525023,0.01552723968667176,0.0016376434960219295,0.0206227891903856
20,0.1,17,0.019759447338837513,0.01600517169546064,0.0036220967894622473,0.02181627610849551
20,0.1,18,0.020453079996393744,0.016670879504411727,0.005271748766717516,0.023145634823462134
20,0.1,19,0.02017884000393537,0.01711271547724976,0.006000132894499563,0.023114526928275366
20,0.1,20,0.05310938417724574,0.0,0.047489642890025247,0.08163542319439722
20,0.1,21,0.05089154101845643,0.04102907746562123,0.0463163566808461,0.07917137330930898
20,0.1,22,0.04806389307742759,0.039725732970880806,0.046735215342070785,0.0766548537593008
20,0.1,23,0.045793701043204946,0.03816929880186176,0.04694902683152036,0.0739638606190003
20,0.1,24,0.044265741356500445,0.03674303473768605,0.04382715227439769,0.07240592095249858
20,0.1,25,0.042902009120644735,0.035785320441111663,0.04291008122005088,0.07007117347995465
20,0.1,26,0.04169497328235276,0.03502703128295353,0.04087662471673048,0.06795786029209057
20,0.1,27,0.04064704873463732,0.03359862957981732,0.038553543256030706,0.06587669016083067
20,0.1,28,0.03777404656854179,0.03190649590019095,0.037583570482152925,0.061904323985724895
20,0.1,29,0.03702273829672101,0.03089142563789067,0.0347653155901354,0.059676951779785756
20,0.1,30,0.013261773063586302,0.0,0.013725379058187125,0.021283137801659836
20,0.1,31,0.01326086549046561,0.0069279729727377785,0.01200643268846505,0.019916365756885525
20,0.1,32,0.012552886985011875,0.007755599169304194,0.008695071061192826,0.0168615404566994
