mechanism,round,n,insured_pct_mean,insured_pct_ci95,override_residual_mean,override_residual_ci95
FL-IMDR restricted,19,50,0.9823999999999998,0.003738183516094417,0.0,0.0
FL-IMDR restricted,20,50,0.9801999999999998,0.0038591273625004927,0.0,0.0
FL-IMDR restricted,21,50,0.9824,0.0038211537524679667,0.0,0.0
FL-IMDR restricted,22,50,0.9832000000000001,0.003977182922622497,0.0,0.0
FL-IMDR restricted,23,50,0.9814,0.004228278136546842,0.0,0.0
FL-IMDR restricted,24,50,0.9822,0.0042386488413172435,0.0,0.0
FL-IMDR restricted,25,50,0.9788,0.004870390538755594,0.0,0.0
FL-IMDR restricted,26,50,0.9804,0.005100613296457593,0.0,0.0
FL-IMDR restricted,27,50,0.98,0.004617878300691779,0.0,0.0
FL-IMDR restricted,28,50,0.9814,0.0039995919791898805,0.0,0.0
FL-IMDR restricted,29,50,0.9811999999999999,0.00428829849707317,0.0,0.0
FL-IMDR restricted,30,50,0.9792000000000002,0.004331953831702276,0.0,0.0
FL-IMDR restricted,31,50,0.982,0.004264832939283793,0.0,0.0
FL-IMDR restricted,32,50,0.9819999999999999,0.003798104790550153,0.0,0.0
FL-IMDR restricted,33,50,0.9803999999999999,0.004616519901397591,0.0,0.0
FL-IMDR restricted,34,50,0.9831999999999997,0.0035611773334109633,0.0,0.0
FL-IMDR restricted,35,50,0.9838,0.004072628635169186,0.0,0.0
FL-IMDR restricted,36,50,0.9839999999999999,0.004190656273186815,0.0,0.0
FL-IMDR restricted,37,50,0.983,0.00400898989771738,0.0,0.0
FL-IMDR restricted,38,50,0.9832,0.004131874151036065,0.0,0.0
FL-IMDR restricted,39,50,0.9846,0.004160992189370224,0.0,0.0
FL-IMDR restricted,40,50,0.9830000000000001,0.004274014506292651,0.0,0.0
FL-IMDR restricted,41,50,0.9829999999999999,0.004626359259720327,0.0,0.0
FL-IMDR restricted,42,50,0.9829999999999999,0.004523538437992985,0.0,0.0
FL-IMDR restricted,43,50,0.9811999999999999,0.005331482345464535,0.0,0.0
FL-IMDR restricted,44,50,0.9805999999999999,0.0048306289445578425,0.0,0.0
FL-IMDR restricted,45,50,0.9805999999999999,0.004529081143013448,0.0,0.0
FL-IMDR restricted,46,50,0.9797999999999999,0.005116880299557536,0.0,0.0
